oevk,opp_candidate_22,opp_affiliation22,opp_won22,jobbik_candidate18,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Tóth Viktor,JOBBIK,0,KÉSZ GÉZA,0,0,0,0,0
Csongrád megye 4. számú egyéni választókerület,Márki-Zay Péter,ÚVNP,0,KISS ATTILA,0,0,0,0,0
Békés megye 1. számú egyéni választókerület,Stummer János,JOBBIK,0,KOCZIHA TÜNDE,0,0,0,0,0
Bács-Kiskun megye 4. számú egyéni választókerület,Kis-Szeniczey Kálmán,LMP,0,KOLLÁR LÁSZLÓ,0,0,0,0,0
Hajdú-Bihar megye 2. számú egyéni választókerület,Mándi László,MOMENTUM,0,KŐSZEGHY ÁBEL,0,0,0,0,0
Budapest 4. számú egyéni választókerület,Tordai Bence,PÁRBESZÉD,1,KOVÁCS TAMÁS,0,0,0,0,0
Baranya megye 2. számú egyéni választókerület,Szakács László,MSZP,0,GYIMESI GÁBOR,0,0,0,1,0
Pest megye 10. számú egyéni választókerület,Szabó Rebeka,PÁRBESZÉD,0,LENDVAY ENDRE,0,0,0,0,0
Szabolcs-Szatmár-Bereg megye 1. számú egyéni választókerület,Lengyel Máté,JOBBIK,0,LENGYEL MÁTÉ,1,0,0,1,1
Budapest 1. számú egyéni választókerület,Csárdi Antal,LMP,1,LOSONCZY PÁL,0,0,0,0,0
Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Sermer Ádám,MSZP,0,LUKÁCS ATTILA,0,0,0,0,0
Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Lukács László,JOBBIK,0,LUKÁCS LÁSZLÓ GYÖRGY,1,0,0,1,1
Pest megye 8. számú egyéni választókerület,Jószai Teodóra,DK,0,LUPA JÁNOS,0,0,0,0,0
Budapest 7. számú egyéni választókerület,Hiszékeny Dezsõ,MSZP,1,MAGVASI ADRIÁN,0,0,0,0,0
Pest megye 11. számú egyéni választókerület,Jánosi-Lesi Ágota,DK,0,MAGYAR PÉTER,0,0,0,0,0
Győr-Moson-Sopron megye 3. számú egyéni választókerület,Kovácsné Varga Ildikó,MSZP,0,MAGYAR ZOLTÁN,0,0,0,1,1
Budapest 3. számú egyéni választókerület,Hajnal Miklós,MOMENTUM,1,GYÖNGYÖSI MÁRTON,0,0,0,1,0
Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gasztonyi László,DK,0,MENYHÁRT MIKLÓS,0,0,0,0,0
Somogy megye 1. számú egyéni választókerület,Varga István,DK,0,MIHÁLDINECZ GÁBOR,0,0,0,0,0
Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Erdei Sándor,JOBBIK,0,MIKOLA GERGELY,0,0,0,0,0
Heves megye 1. számú egyéni választókerület,Berecz Mátyás,DK,0,MIRKÓCZKI ÁDÁM,0,0,0,0,0
Komárom-Esztergom megye 2. számú egyéni választókerület,Nunkovics Tibor,JOBBIK,0,NUNKOVICS TIBOR,1,0,0,1,1
Borsod-Abaúj-Zemplén megye 2. számú egyéni választókerület,Varga László,MSZP,0,PAKUSZA ZOLTÁN,0,1,1,0,0
Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Szilágyi Szabolcs,JOBBIK,0,JAKAB PÉTER,0,0,0,1,0
Fejér megye 4. számú egyéni választókerület,Kálló Gergely,JOBBIK,0,PINTÉR TAMÁS,0,0,0,0,0
Somogy megye 4. számú egyéni választókerület,Potocskáné Kõrösi Anita,JOBBIK,0,POTOCSKÁNÉ KŐRÖSI ANITA,1,0,0,1,1
Vas megye 2. számú egyéni választókerület,Hencz Kornél,MSZP,0,RÁBA KÁLMÁN,0,0,0,0,0
Bács-Kiskun megye 2. számú egyéni választókerület,Bodrozsán Alexandra,MOMENTUM,0,RADICS TIVADAR,0,0,0,0,0
