oevk,szekhely,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP
Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,72700,46721,45879,64.27,63.11,Tilki Attila,Sápi Mónika,,Kantuly Zsolt,Horváth Miklósné,Szabó Mária,Bertics Mihály,,,Király Szilárd,,,,,31523,11404,,302,,319,2159,,,172,,,,,46079,63.38,10472,243,535,264,2055,32486
Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,73065,46556,45761,63.72,62.63,Kovács Sándor,Földi István,,Roland Alex,,Nagy Csaba,Apáti István,,,,,,,,29647,11250,,347,,332,4185,,,,,,,,45951,62.89,10763,266,463,263,2808,31357
Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,71642,46401,45479,64.77,63.48,Simon Miklós,Tóth Viktor,Polyák Csaba,Czakó Zoltán,,Koroknai Zsolt,Szathmári Lajos,,,,,,,,29875,12781,558,386,,381,2252,,,,,,,,45688,63.77,11046,360,569,319,2393,30966
Tolna megye 1. számú egyéni választókerület,Szekszárd,59349,41349,40792,69.67,68.73,Horváth István,Harangozó Tamás,Farkas László,Hajdu Ferenc,Kercsó Márton,Szentpéteri Zsolt,Papp Tamás,Ürmös M. Attila,,Burai Károly,,,,,22642,14279,1042,383,85,,2361,,,,,,,,40876,68.87,13069,260,1137,398,2383,23200
Tolna megye 2. számú egyéni választókerület,Dombóvár,58630,39625,39017,67.58,66.55,Potápi Árpád,Szabó Loránd,,Kõmüves Attila,,Bea Gábor,Tobak Gábor,,,,,,,,24362,10536,,576,,601,2942,,,,,,,,39082,66.66,10383,358,882,367,2845,23112
Tolna megye 3. számú egyéni választókerület,Paks,58863,40606,39856,68.98,67.71,Süli János,Bencze János,,Laczkó Péter,,Halász Gergely,Árvai Tibor,,,,,,,,25102,11107,,433,,518,2696,,,,,,,,39971,67.91,10721,359,937,320,2769,24391
Vas megye 1. számú egyéni választókerület,Szombathely,68418,52279,51637,76.41,75.47,Hende Csaba,Czeglédy Csaba,Nagy Dávid,Tömböly Tamás,Hegedüs Máté,Horváth Éva,Vadon István,,,Abért Zoltán,,,,,25792,20771,1585,530,71,467,2421,,,,,,,,51738,75.62,19233,393,1784,515,2434,27128
Vas megye 2. számú egyéni választókerület,Sárvár,68087,50658,50057,74.4,73.52,Ágh Péter,Hencz Kornél,Zakota Tamás,Horváth Sándor,,Rutkai Zoltán,Giczy József,,,,,,,,32226,13026,1137,441,,294,2933,,,,,,,,50108,73.59,13670,382,1439,459,3073,31003
Vas megye 3. számú egyéni választókerület,Körmend,66285,48820,48101,73.65,72.57,V.Németh Zsolt,Bana Tibor,,Dávid Dávid,,Regovicsné Olajos Natália,Németi Csaba,,,Horváth Rezsõ,,,,,31938,12874,,613,,,2676,,,,,,,,48274,72.83,11454,300,1119,366,2888,31858
Veszprém megye 1. számú egyéni választókerület,Veszprém,70276,52364,51739,74.51,73.62,Ovádi Péter,Dr. Csonka Balázs,Vértesi Benjámin,Simor István,,Lõrinc József,Kovacsics József Zsolt,,,,,,,,26119,20301,1484,604,,,3231,,,,,,,,51763,73.66,19637,405,2106,659,3618,24483
