telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Csernely,522,317,314,60.73,60.15,208,85,,1,,,14,6,,,,,,,313,59.96,77,2,3,1,19,211,Falu
Cserszegtomaj,2358,1739,1712,73.75,72.6,893,616,56,,,20,127,,,,,,,,1718,72.86,559,21,52,16,146,924,Falu
Csertalakos,32,14,14,43.75,43.75,11,2,,,,1,,,,,,,,,14,43.75,2,1,,,1,10,Falu
Csertő,317,195,193,61.51,60.88,134,47,4,3,,,4,1,,,,,,,194,61.2,48,,6,2,5,133,Falu
Csesznek,418,305,300,72.97,71.77,198,76,9,3,,,14,,,,,,,,304,72.73,72,2,14,5,14,197,Falu
Csesztreg,680,515,508,75.74,74.71,320,137,18,5,,3,17,6,,2,,,,,505,74.26,134,4,24,7,17,319,Falu
Csesztve,257,170,168,66.15,65.37,76,37,4,3,,,48,,,,,,,,168,65.37,41,,5,3,36,83,Falu
Csetény,1469,1087,1069,74,72.77,701,236,26,6,,,100,,,,,,,,1068,72.7,242,3,36,11,116,659,Falu
Csévharaszt,1635,1068,1045,65.32,63.91,678,239,25,14,,,89,,,,,,,,1048,64.1,255,6,21,12,91,663,Falu
Csibrák,215,111,111,51.63,51.63,74,23,,2,,1,11,,,,,,,,108,50.23,21,1,2,,11,73,Falu
Csikéria,622,357,350,57.4,56.27,234,84,,4,,,28,,,,,,,,352,56.59,81,2,5,1,33,225,Falu
Csikóstőttős,642,397,394,61.84,61.37,237,87,,14,,6,50,,,,,,,,394,61.37,95,4,7,6,33,231,Falu
Csikvánd,402,280,275,69.65,68.41,217,45,,3,,,9,,,,,1,,,273,67.91,44,2,5,2,10,210,Falu
Csincse,456,302,295,66.23,64.69,181,72,10,4,,1,20,7,,,,,,,298,65.35,85,4,12,4,23,170,Falu
Csipkerek,285,207,207,72.63,72.63,163,36,,2,,,6,,,,,,,,206,72.28,37,,,1,7,161,Falu
Csitár,307,205,202,66.78,65.8,132,34,2,,,1,33,,,,,,,,202,65.8,39,1,3,1,18,140,Falu
Csobád,514,355,349,69.07,67.9,251,82,3,3,1,,9,,,,,,,,351,68.29,75,1,1,,16,258,Falu
Csobaj,535,324,322,60.56,60.19,247,64,,2,1,5,,3,,,,,,,321,60,70,6,5,1,13,226,Falu
Csobánka,2722,1989,1920,73.07,70.54,1044,693,87,9,4,10,73,,,,,,,,1917,70.43,679,10,115,13,77,987,Falu
Csókakő,1219,921,911,75.55,74.73,550,246,34,4,,9,68,,,,,,,,910,74.65,238,13,38,4,71,545,Falu
Csokonyavisonta,1155,709,696,61.39,60.26,423,233,,10,,,30,,,,,,,,706,61.13,191,1,17,4,34,456,Falu
Csokvaomány,588,343,336,58.33,57.14,214,100,2,,,,13,7,,,,,,,334,56.8,97,2,4,1,18,212,Falu
Csolnok,2579,1742,1720,67.55,66.69,772,719,44,,,23,116,46,,,,,,,1715,66.5,620,16,63,18,140,695,Falu
Csólyospálos,1244,854,845,68.65,67.93,617,127,18,16,,,67,,,,,,,,849,68.25,130,4,21,13,76,605,Falu
Csoma,337,234,233,69.44,69.14,155,40,4,2,2,,16,14,,,,,,,232,68.84,57,1,3,2,14,155,Falu
Csomád,1333,998,993,74.87,74.49,549,338,25,23,,4,52,,2,,,,,,987,74.04,351,5,37,25,68,497,Falu
Csombárd,219,156,144,71.23,65.75,91,48,,2,,,3,,,,,,,,148,67.58,48,1,3,1,4,91,Falu
Csongrád,12792,8918,8795,69.72,68.75,4830,2337,,95,,,1369,164,,,,,,,8828,69.01,2526,45,243,77,802,5134,Középváros
Csonkahegyhát,270,212,208,78.52,77.04,127,52,5,6,,2,13,3,,,,,,,206,76.3,46,2,6,2,20,130,Falu
Csonkamindszent,127,98,97,77.17,76.38,74,14,4,1,,,3,1,,,,,,,98,77.17,12,,4,3,3,76,Falu
Csopak,1592,1253,1228,78.71,77.14,627,483,38,16,,7,57,,,,,,,,1224,76.88,486,7,54,7,64,604,Falu
Csór,1512,1043,1030,68.98,68.12,628,269,27,8,,9,89,,,,,,,,1031,68.19,263,11,34,13,98,609,Falu
Csorna,8952,7106,7013,79.38,78.34,4655,1976,,93,,,261,,,,,28,,,7027,78.5,2017,29,253,77,295,4351,Kisváros
Csorvás,3835,2350,2295,61.28,59.84,1237,751,52,19,,21,197,18,,,,,,,2304,60.08,720,27,59,24,240,1225,Falu
Csót,785,500,489,63.69,62.29,325,100,22,,,4,38,,,,,,,,488,62.17,101,4,22,1,43,317,Falu
Csöde,756,521,500,68.92,66.14,368,103,6,1,,,22,,,,,,,,514,67.99,101,4,8,,25,374,Falu
Csögle,512,385,377,75.2,73.63,240,93,4,,,2,38,,,,,,,,378,73.83,89,1,8,,31,242,Falu
Csökmő,66,55,55,83.33,83.33,46,4,,,,,4,1,,,,,,,54,81.82,5,1,1,,4,43,Falu
Csököly,483,330,325,68.32,67.29,236,62,5,,,,22,,,,,,,,328,67.91,61,3,4,,26,234,Falu
Csömend,1439,890,871,61.85,60.53,536,194,,1,2,8,41,89,,,,,,,871,60.53,215,10,14,5,57,570,Falu
Csömödér,733,460,452,62.76,61.66,366,64,,1,,,21,,,,,,,,454,61.94,51,6,6,1,28,362,Falu
Csömör,207,151,150,72.95,72.46,102,38,,,,,10,,,,,,,,150,72.46,34,4,1,,8,103,Falu
Csönge,466,306,303,65.67,65.02,214,57,5,4,,6,17,,,,,,,,306,65.67,58,8,6,3,19,212,Falu
Csörnyeföld,7533,5887,5802,78.15,77.02,2540,2564,209,134,,33,297,,25,,,,,,5830,77.39,2529,31,273,106,306,2533,Kisváros
Csörög,292,186,186,63.7,63.7,165,13,1,2,,,5,,,,,,,,185,63.36,15,,1,1,8,160,Falu
Csörötnek,304,201,197,66.12,64.8,133,40,6,1,,2,15,,,,,,,,197,64.8,38,3,6,1,16,133,Falu
Csősz,1669,1058,1039,63.39,62.25,668,277,20,10,2,4,58,,,,,,,,1045,62.61,266,3,34,13,65,663,Falu
Csővár,696,447,433,64.22,62.21,315,95,,2,,,21,,,,,,,,437,62.79,77,3,10,1,22,324,Falu
Csurgó,3872,2556,2523,66.01,65.16,1503,929,,13,,,78,,,,,,,,2522,65.13,802,15,42,21,126,1515,Falu
Csurgónagymarton,119,79,78,66.39,65.55,52,22,,,,,4,,,,,,,,77,64.71,21,,,,8,48,Falu
Dabas,15296,11518,11370,75.3,74.33,6699,3455,313,106,26,94,677,,,,,,,,11407,74.58,3540,79,366,116,724,6553,Középváros
Dabronc,346,223,220,64.45,63.58,157,54,7,,,,,2,,,,,,,221,63.87,42,3,8,1,13,154,Falu
Dabrony,328,196,195,59.76,59.45,138,37,3,,,,17,,,,,,,,195,59.45,36,2,3,,18,136,Falu
Dad,818,626,625,76.53,76.41,383,174,17,2,,1,48,,,,,,,,625,76.41,170,6,18,1,56,373,Falu
Dág,749,540,521,72.1,69.56,301,157,9,,,8,36,10,,,,,,,518,69.16,139,4,18,4,41,264,Falu
Dáka,344,257,253,74.71,73.55,165,70,2,2,,,14,,,,,,,,255,74.13,64,1,5,4,17,164,Falu
Dalmand,921,634,626,68.84,67.97,418,134,,29,,2,43,,,,,,,,627,68.08,142,5,6,7,36,431,Falu
Damak,184,140,138,76.09,75,87,29,4,,,,18,,,,,,,,139,75.54,29,1,4,,15,90,Falu
Dámóc,249,156,154,62.65,61.85,121,25,,,,,6,2,,,,,,,154,61.85,20,,,,8,126,Falu
Dánszentmiklós,2203,1383,1372,62.78,62.28,861,350,40,9,,,112,,,,,,,,1370,62.19,373,7,39,6,84,860,Falu
Dány,3541,2462,2435,69.53,68.77,1701,526,56,25,,15,112,,,,,,,,2444,69.02,530,11,57,18,126,1702,Falu
Daraboshegy,74,55,53,74.32,71.62,34,16,,1,,,2,,,,,,,,55,74.32,16,1,,,5,33,Falu
Darány,691,416,406,60.2,58.76,227,143,,3,,,33,,,,,,,,405,58.61,110,4,9,1,33,218,Falu
Darnó,114,62,62,54.39,54.39,52,6,,,,,4,,,,,,,,62,54.39,2,,1,,3,56,Falu
Darnózseli,1277,954,940,74.71,73.61,601,246,26,9,,4,54,,,,,,,,944,73.92,264,8,26,6,66,574,Falu
Daruszentmiklós,982,596,586,60.69,59.67,397,133,9,3,,5,39,,,,,,,,589,59.98,124,5,18,3,48,391,Falu
Darvas,438,263,254,60.05,57.99,143,61,,1,1,,11,37,,,,,,,260,59.36,69,2,5,1,12,171,Falu
Dávod,1583,902,888,56.98,56.1,568,227,10,7,,,76,,,,,,,,892,56.35,213,6,10,9,78,573,Falu
Debercsény,72,48,46,66.67,63.89,29,8,1,,,,8,,,,,,,,46,63.89,8,,,,7,31,Falu
Debrecen,159105,112919,111313,70.97,69.96,58117,44113,1681,921,748,1651,4026,,,,,,56,,111880,70.32,41679,918,4160,1295,6861,56851,Nagyváros
Debréte,11,8,8,72.73,72.73,6,2,,,,,,,,,,,,,8,72.73,2,,,,,6,Falu
Decs,3131,1994,1960,63.69,62.6,1334,456,41,21,4,,104,,,,,,,,1971,62.95,411,15,43,15,108,1376,Falu
Dédestapolcsány,1143,711,695,62.2,60.8,331,222,29,5,,6,97,,,2,3,,,,701,61.33,228,6,23,4,99,341,Falu
Dég,1678,983,972,58.58,57.93,680,181,19,3,,11,78,,,,,,,,972,57.93,180,10,20,5,92,665,Falu
Dejtár,1082,686,682,63.4,63.03,421,153,10,9,4,1,84,,,,,,,,681,62.94,167,3,16,6,60,429,Falu
Délegyháza,4294,2950,2926,68.7,68.14,1514,1030,101,35,14,39,193,,,,,,,,2928,68.19,1036,37,113,32,183,1519,Kisváros
Demecser,3256,2025,1976,62.19,60.69,1376,467,,17,4,20,92,,,,,,,,1995,61.27,503,20,26,21,85,1340,Falu
Demjén,482,345,342,71.58,70.95,186,105,11,4,,,36,,,,,,,,342,70.95,107,1,11,6,35,182,Falu
Dencsháza,446,247,243,55.38,54.48,171,52,5,2,,,11,2,,,,,,,244,54.71,46,,3,2,12,181,Falu
Dénesfa,323,230,225,71.21,69.66,161,47,,2,,,15,,,,,,,,228,70.59,53,1,4,4,16,150,Falu
Derecske,6670,4259,4201,63.85,62.98,2729,913,,44,6,37,299,173,,,,,,,4215,63.19,956,41,73,40,300,2804,Kisváros
Derekegyház,1149,784,771,68.23,67.1,414,229,,14,,,90,24,,,,,,,774,67.36,243,9,19,14,85,403,Falu
Deszk,3063,2214,2186,72.28,71.37,967,889,64,61,,15,140,50,,,,,,,2198,71.76,909,19,90,40,158,960,Falu
Detek,198,136,134,68.69,67.68,91,27,1,2,,,12,,,,1,,,,134,67.68,20,,,2,18,94,Falu
Detk,925,628,620,67.89,67.03,332,198,,10,,,64,16,,,,,,,626,67.68,186,13,18,13,64,332,Falu
Dévaványa,5750,3496,3428,60.8,59.62,2230,843,79,27,,30,219,,,,,,,,3444,59.9,843,38,62,27,237,2236,Kisváros
Devecser,3452,1993,1963,57.73,56.87,1183,597,37,11,,,135,,,,,,,,1969,57.04,580,7,37,11,146,1187,Falu
Dinnyeberki,56,31,31,55.36,55.36,24,5,2,,,,,,,,,,,,31,55.36,6,,2,,,23,Falu
Diósberény,252,157,155,62.3,61.51,119,22,,1,,,13,,,,,,,,152,60.32,19,,1,,10,88,Falu
Diósd,8032,6529,6477,81.29,80.64,2778,3000,187,86,,,309,117,,,,,,,6472,80.58,2879,45,300,91,324,2806,Kisváros
Diósjenő,2274,1493,1475,65.66,64.86,924,328,35,6,,5,177,,,,,,,,1474,64.82,335,6,35,5,126,967,Falu
Dióskál,347,237,235,68.3,67.72,157,58,6,,,6,8,,,,,,,,236,68.01,57,5,7,,9,158,Falu
Diósviszló,546,325,322,59.52,58.97,233,60,9,6,,,12,2,,,,,,,322,58.97,63,1,9,3,14,232,Falu
Doba,373,252,247,67.56,66.22,181,42,6,,,,18,,,,,,,,250,67.02,37,,5,,14,194,Falu
Doboz,3333,2097,2064,62.92,61.93,1265,609,40,19,5,16,110,,,,,,,,2066,61.99,594,20,47,9,131,1264,Falu
Dobri,133,98,97,73.68,72.93,54,31,6,1,,,5,,,,,,,,97,72.93,31,1,5,1,11,48,Falu
Dobronhegy,125,106,106,84.8,84.8,70,14,2,1,,3,15,1,,,,,,,106,84.8,16,3,4,1,14,68,Falu
Dóc,580,385,379,66.38,65.34,258,87,,5,,,25,4,,,,,,,382,65.86,91,4,8,4,23,252,Falu
Domaháza,587,301,298,51.28,50.77,220,49,3,,,,25,1,,,,,,,297,50.6,47,2,3,,25,220,Falu
Domaszék,3948,2741,2710,69.43,68.64,1471,820,81,38,,14,286,,,,,,,,2714,68.74,831,12,88,37,229,1516,Kisváros
Dombegyház,1503,905,885,60.21,58.88,517,276,13,5,3,4,58,9,,,,,,,890,59.21,247,5,17,9,68,544,Falu
Dombiratos,438,288,281,65.75,64.16,157,112,1,1,1,,7,2,,,,,,,282,64.38,90,4,3,2,10,173,Falu
Dombóvár,15900,10966,10766,68.97,67.71,5669,3811,,225,,125,936,,,,,,,,10833,68.13,3736,76,315,105,819,5695,Középváros
Dombrád,2889,1653,1621,57.22,56.11,1141,372,,18,7,9,74,,,,,,,,1624,56.21,405,13,28,12,79,1086,Falu
Domony,1721,1234,1223,71.7,71.06,773,303,34,13,,8,79,13,,,,,,,1226,71.24,297,8,38,10,81,791,Falu
Domoszló,1579,1075,1061,68.08,67.19,607,349,,11,,,77,17,,,,,,,1068,67.64,329,11,34,13,90,591,Falu
Dormánd,710,465,457,65.49,64.37,315,114,5,2,,,21,,,,,,,,462,65.07,114,1,5,2,28,312,Falu
Dorog,9144,6040,5969,66.05,65.28,2322,2843,152,,,73,302,277,,,,,,,5994,65.55,2621,83,206,49,433,2573,Kisváros
Dorogháza,803,531,522,66.13,65.01,311,151,8,3,3,4,42,,,,,,,,527,65.63,143,5,10,2,43,324,Falu
Dozmat,207,185,183,89.37,88.41,109,55,9,,,2,8,,,,,,,,182,87.92,51,1,14,,11,105,Falu
Döbörhegy,122,87,85,71.31,69.67,62,20,,,,,3,,,,,,,,86,70.49,18,,,,4,64,Falu
Döbröce,64,54,53,84.38,82.81,32,14,1,,,,6,,,,,,,,53,82.81,15,,,,7,31,Falu
Döbrököz,1477,880,861,59.58,58.29,577,153,,14,,4,113,,,,,,,,868,58.77,139,2,6,7,117,578,Falu
Döbrönte,232,176,170,75.86,73.28,103,51,5,,,,11,,,,,,,,174,75,47,2,10,,11,86,Falu
Döge,1682,1067,1049,63.44,62.37,706,243,,24,4,7,65,,,,,,,,1052,62.54,277,8,12,17,60,678,Falu
Dömös,925,619,613,66.92,66.27,348,194,18,,,9,36,8,,,,,,,615,66.49,201,3,25,5,35,344,Falu
Dömsöd,4824,3007,2966,62.33,61.48,1980,704,56,24,8,13,181,,,,,,,,2979,61.75,718,15,71,30,194,1946,Kisváros
Dör,486,376,373,77.37,76.75,285,62,,6,,,19,,,,,1,,,370,76.13,69,2,9,4,20,266,Falu
Dörgicse,219,170,168,77.63,76.71,88,49,12,4,,2,13,,,,,,,,166,75.8,45,4,11,1,21,84,Falu
Döröske,91,73,73,80.22,80.22,47,22,,,,,4,,,,,,,,73,80.22,20,1,1,,2,49,Falu
Dötk,24,22,21,91.67,87.5,13,8,,,,,,,,,,,,,21,87.5,8,,,,1,12,Falu
Dövény,215,151,151,70.23,70.23,86,15,1,1,,,3,45,,,,,,,151,70.23,35,1,,,8,107,Falu
Drágszél,264,164,162,62.12,61.36,113,38,,6,,1,4,,,,,,,,162,61.36,40,1,,7,5,109,Falu
Drávacsehi,126,85,83,67.46,65.87,49,26,2,4,,,1,1,,,,,,,83,65.87,23,1,2,4,2,51,Falu
Drávacsepely,175,116,116,66.29,66.29,85,21,,,,,8,2,,,,,,,115,65.71,22,2,1,,9,81,Falu
Drávafok,387,215,209,55.56,54.01,148,48,6,2,,,5,,,,,,,,208,53.75,43,2,6,2,6,132,Falu
Drávagárdony,111,77,77,69.37,69.37,54,21,,,,,2,,,,,,,,76,68.47,14,,1,1,2,58,Falu
Drávaiványi,124,88,87,70.97,70.16,78,6,1,,,,1,1,,,,,,,88,70.97,7,,1,,,80,Falu
Drávakeresztúr,86,45,44,52.33,51.16,32,8,2,,,,2,,,,,,,,44,51.16,6,,2,,1,19,Falu
Drávapalkonya,215,122,114,56.74,53.02,70,32,3,2,,,5,2,,,,,,,121,56.28,29,1,3,2,8,78,Falu
Drávapiski,66,35,34,53.03,51.52,29,4,1,,,,,,,,,,,,34,51.52,4,,1,,,29,Falu
Drávaszabolcs,541,341,332,63.03,61.37,218,93,8,1,,,11,1,,,,,,,339,62.66,86,2,11,1,14,225,Falu
Drávaszerdahely,140,96,94,68.57,67.14,52,29,1,1,,,10,1,,,,,,,95,67.86,29,,,2,9,55,Falu
Drávasztára,306,179,172,58.5,56.21,136,29,2,,,,5,,,,,,,,175,57.19,31,,1,,4,120,Falu
Drávatamási,179,109,109,60.89,60.89,81,25,,,,,3,,,,,,,,101,56.42,18,,,,4,76,Falu
Drégelypalánk,1086,702,692,64.64,63.72,468,110,13,2,6,2,91,,,,,,,,697,64.18,121,3,16,2,66,489,Falu
Dubicsány,219,168,168,76.71,76.71,63,69,4,,,,18,14,,,,,,,168,76.71,69,,3,1,27,68,Falu
Dudar,1366,922,911,67.5,66.69,561,259,18,6,,,67,,,,,,,,913,66.84,260,6,25,5,76,540,Falu
Duka,205,148,143,72.2,69.76,103,32,,2,,,6,,,,,,,,144,70.24,32,,2,2,9,99,Falu
Dunaalmás,1313,907,897,69.08,68.32,484,273,38,22,,10,70,,,,,,,,898,68.39,277,12,41,15,74,478,Falu
Dunabogdány,2553,1954,1928,76.54,75.52,1330,423,55,27,10,9,74,,,,,,,,1926,75.44,429,8,63,25,88,1149,Falu
Dunaegyháza,1197,704,695,58.81,58.06,359,250,,14,,3,69,,,,,,,,699,58.4,242,1,18,4,70,360,Falu
Dunafalva,709,483,472,68.12,66.57,319,104,8,3,,,38,,,,,,,,472,66.57,101,6,9,3,35,317,Falu
Dunaföldvár,6651,4393,4334,66.05,65.16,2528,1308,,71,,73,354,,,,,,,,4342,65.28,1275,40,120,46,343,2514,Kisváros
Dunaharaszti,17655,13171,13013,74.6,73.71,6127,5264,514,236,40,122,710,,,,,,,,12984,73.54,5238,87,556,206,677,5978,Középváros
Dunakeszi,34751,27109,26806,78.01,77.14,12149,11806,983,402,,110,1112,,244,,,,,,26869,77.32,12172,144,1395,408,1292,11307,Középváros
Dunakiliti,1410,981,968,69.57,68.65,638,249,28,11,,6,36,,,,,,,,964,68.37,264,4,35,10,47,603,Falu
Dunapataj,2599,1663,1644,63.99,63.26,960,518,,55,,24,87,,,,,,,,1645,63.29,548,26,24,40,76,929,Falu
Dunaremete,211,172,169,81.52,80.09,101,48,6,4,,1,9,,,,,,,,169,80.09,43,,13,3,12,98,Falu
Dunaszeg,1782,1352,1336,75.87,74.97,784,377,50,19,,16,90,,,,,,,,1340,75.2,389,12,46,21,94,777,Falu
Dunaszekcső,1494,854,849,57.16,56.83,571,200,,15,5,,58,,,,,,,,833,55.76,190,9,8,2,40,485,Falu
Dunaszentbenedek,620,375,373,60.48,60.16,247,72,,21,,4,29,,,,,,,,374,60.32,70,2,4,10,32,256,Falu
Dunaszentgyörgy,1973,1391,1370,70.5,69.44,951,277,,13,,16,113,,,,,,,,1378,69.84,269,13,30,11,128,927,Falu
Dunaszentmiklós,373,288,286,77.21,76.68,183,77,8,3,,1,14,,,,,,,,286,76.68,72,,7,,16,139,Falu
Dunaszentpál,582,422,414,72.51,71.13,235,131,16,5,,4,23,,,,,,,,416,71.48,125,3,23,8,29,228,Falu
Dunasziget,1207,914,901,75.72,74.65,614,220,28,6,,5,28,,,,,,,,905,74.98,198,3,28,11,40,623,Falu
Dunatetétlen,455,291,288,63.96,63.3,206,65,,3,,2,12,,,,,,,,287,63.08,117,3,2,2,10,153,Falu
Dunaújváros,36173,25200,24879,69.67,68.78,9977,12555,626,377,54,159,1131,,,,,,,,24951,68.98,11974,219,727,312,1498,10169,Középváros
Dunavarsány,6650,4652,4589,69.95,69.01,2244,1847,124,48,,21,258,47,,,,,,,4593,69.07,1779,32,157,60,303,2193,Kisváros
Dunavecse,3044,1839,1813,60.41,59.56,1121,540,,35,,23,94,,,,,,,,1820,59.79,520,22,52,25,94,1106,Falu
Dusnok,2380,1665,1622,69.96,68.15,1118,301,30,21,,,152,,,,,,,,1641,68.95,277,10,38,9,150,1127,Falu
Dúzs,186,116,112,62.37,60.22,70,31,,2,,2,7,,,,,,,,113,60.75,32,1,3,1,2,74,Falu
Ebergőc,127,95,93,74.8,73.23,73,16,,,,,4,,,,,,,,93,73.23,19,,1,1,1,71,Falu
Ebes,3714,2589,2550,69.71,68.66,1444,841,,24,6,26,209,,,,,,,,2557,68.85,811,26,77,15,200,1427,Falu
Écs,1675,1260,1248,75.22,74.51,835,292,,19,,8,94,,,,,,,,1247,74.45,305,3,56,18,115,750,Falu
Ecséd,2596,1682,1661,64.79,63.98,1029,448,,24,8,,152,,,,,,,,1664,64.1,458,9,42,7,146,1002,Falu
Ecseg,889,556,536,62.54,60.29,371,126,9,1,1,1,27,,,,,,,,540,60.74,111,2,8,,29,390,Falu
Ecsegfalva,951,512,504,53.84,53,344,124,7,,,3,26,,,,,,,,507,53.31,127,1,10,1,36,332,Falu
Ecseny,154,108,108,70.13,70.13,96,11,,1,,,,,,,,,,,105,68.18,10,,3,1,7,76,Falu
Ecser,3198,2449,2415,76.58,75.52,1148,948,98,55,,17,149,,,,,,,,2426,75.86,964,16,78,56,149,1160,Falu
Edde,139,90,87,64.75,62.59,72,10,,3,,,2,,,,,,,,88,63.31,10,1,1,2,2,72,Falu
Edelény,7406,4913,4835,66.34,65.28,2934,1250,65,29,11,16,507,,,9,14,,,,4852,65.51,1180,36,89,36,500,2984,Kisváros
Edve,100,82,82,82,82,62,15,,2,,,3,,,,,,,,82,82,17,,1,1,6,57,Falu
Eger,42645,31794,31457,74.56,73.76,14289,13441,890,375,,261,2201,,,,,,,,31544,73.97,13159,218,1015,357,2194,14576,Nagyváros
Egerág,763,542,537,71.04,70.38,288,185,,14,3,,47,,,,,,,,540,70.77,180,6,27,5,44,275,Falu
Egeralja,179,149,149,83.24,83.24,126,20,2,,,,1,,,,,,,,147,82.12,18,2,2,,6,119,Falu
Egeraracsa,237,154,154,64.98,64.98,113,32,1,,,3,5,,,,,,,,153,64.56,30,1,3,,9,110,Falu
Egerbakta,1157,805,790,69.58,68.28,596,131,15,8,,7,33,,,,,,,,792,68.45,133,3,13,9,32,601,Falu
Egerbocs,454,322,318,70.93,70.04,200,63,,4,,,45,6,,,,,,,320,70.48,66,2,5,4,43,200,Falu
Egercsehi,1053,619,608,58.78,57.74,368,172,,10,,,46,12,,,,,,,606,57.55,170,4,18,7,56,351,Falu
Egerfarmos,549,320,317,58.29,57.74,194,91,3,7,,3,19,,,,,,,,317,57.74,88,4,2,5,18,200,Falu
Egerlövő,434,329,324,75.81,74.65,236,55,8,4,1,,19,1,,,,,,,325,74.88,65,1,8,3,25,223,Falu
Egerszalók,1520,1131,1122,74.41,73.82,625,383,20,11,,14,69,,,,,,,,1122,73.82,369,14,30,9,75,624,Falu
Egerszólát,892,644,639,72.2,71.64,313,230,12,14,,3,67,,,,,,,,638,71.52,232,7,12,7,69,310,Falu
Égerszög,44,40,40,90.91,90.91,24,8,,1,,,6,1,,,,,,,40,90.91,9,1,1,,6,23,Falu
Egervár,828,631,626,76.21,75.6,441,126,16,,,5,38,,,,,,,,624,75.36,123,1,18,5,39,436,Falu
Egervölgy,288,206,203,71.53,70.49,151,42,,5,,,5,,,,,,,,201,69.79,34,3,3,4,11,146,Falu
Egyed,417,305,302,73.14,72.42,215,57,,3,,,24,,,,,3,,,302,72.42,56,2,9,4,26,205,Falu
Egyek,3908,2199,2152,56.27,55.07,1511,476,,11,4,4,146,,,,,,,,2178,55.73,448,7,28,11,119,1565,Kisváros
Egyházasdengeleg,347,257,244,74.06,70.32,134,80,3,1,1,1,24,,,,,,,,247,71.18,73,3,3,2,24,138,Falu
Egyházasfalu,709,530,520,74.75,73.34,392,95,,6,,,27,,,,,,,,520,73.34,93,1,10,3,29,384,Falu
Egyházasgerge,526,355,344,67.49,65.4,255,61,4,1,3,4,16,,,,,,,,344,65.4,59,4,7,,13,261,Falu
Egyházasharaszti,235,153,146,65.11,62.13,122,17,,3,1,,3,,,,,,,,152,64.68,18,1,,1,3,129,Falu
Egyházashetye,256,188,187,73.44,73.05,143,25,,3,,,16,,,,,,,,188,73.44,23,3,4,1,14,143,Falu
Egyházashollós,460,341,336,74.13,73.04,266,48,,5,,,17,,,,,,,,336,73.04,41,,5,3,19,267,Falu
Egyházaskesző,395,260,256,65.82,64.81,202,40,,1,,,13,,,,,,,,256,64.81,41,,4,2,16,193,Falu
Egyházaskozár,578,372,365,64.36,63.15,156,152,,8,4,,45,,,,,,,,366,63.32,138,5,8,2,52,152,Falu
Egyházasrádóc,1090,869,856,79.72,78.53,620,184,,8,,,44,,,,,,,,862,79.08,169,6,12,5,48,622,Falu
Elek,3545,2095,2061,59.1,58.14,1403,503,22,28,7,6,92,,,,,,,,2044,57.66,490,13,24,16,82,1342,Falu
Ellend,172,108,104,62.79,60.47,59,30,3,1,,1,8,2,,,,,,,107,62.21,34,2,2,2,8,59,Falu
Előszállás,1841,1164,1149,63.23,62.41,747,251,31,5,,14,101,,,,,,,,1147,62.3,284,11,27,5,102,718,Falu
Emőd,3968,2357,2310,59.4,58.22,1358,628,56,29,8,11,188,32,,,,,,,2316,58.37,706,13,61,30,189,1303,Kisváros
Encs,4712,3111,3059,66.02,64.92,1929,873,28,18,6,16,160,29,,,,,,,3071,65.17,874,24,37,24,182,1928,Kisváros
Encsencs,1381,840,812,60.83,58.8,680,107,4,1,,1,19,,,,,,,,829,60.03,90,2,2,1,21,713,Falu
Endrefalva,860,493,487,57.33,56.63,421,46,7,4,3,2,4,,,,,,,,488,56.74,53,2,5,2,4,422,Falu
Endrőc,287,174,167,60.63,58.19,127,30,1,1,,,8,,,,,,,,168,58.54,34,,,2,6,126,Falu
Enese,1413,1037,1030,73.39,72.89,731,234,,15,,,47,,,,,3,,,1030,72.89,239,4,30,16,45,696,Falu
Enying,5204,3208,3169,61.64,60.9,1913,800,66,22,,29,339,,,,,,,,3178,61.07,796,25,64,21,342,1929,Kisváros
Eperjes,368,258,251,70.11,68.21,173,52,,3,,,18,5,,,,,,,251,68.21,61,,2,,15,173,Falu
Eperjeske,848,491,477,57.9,56.25,351,104,,,,2,19,,,1,,,,,481,56.72,92,3,5,1,19,361,Falu
Eplény,448,353,350,78.79,78.13,211,104,12,2,,,21,,,,,,,,351,78.35,99,4,12,1,26,208,Falu
Epöl,495,374,372,75.56,75.15,247,78,8,,,9,27,3,,,,,,,373,75.35,68,4,10,2,29,260,Falu
Ercsi,6455,4200,4137,65.07,64.09,2485,1257,114,24,8,16,233,,,,,,,,4131,64,1230,23,118,32,233,2483,Kisváros
Érd,56581,42814,42428,75.67,74.99,19248,18292,1324,448,,,2026,1090,,,,,,,42452,75.03,17631,257,1744,514,2264,19809,Nagyváros
Erdőbénye,856,524,516,61.21,60.28,335,120,12,4,1,2,38,4,,,,,,,515,60.16,116,3,10,1,35,350,Falu
