telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Balatonszabadi,2327,1630,1610,70.05,69.19,982,559,,25,12,32,,,,,,,,,1616,69.45,527,20,33,10,108,917,Falu
Balatonszárszó,1733,1297,1283,74.84,74.03,715,519,,20,11,18,,,,,,,,,1287,74.26,485,14,34,11,82,661,Falu
Balatonszemes,1383,1035,1024,74.84,74.04,652,323,,31,6,12,,,,,,,,,1032,74.62,306,10,26,15,60,615,Falu
Balatonszentgyörgy,1241,881,872,70.99,70.27,467,354,,8,,,43,,,,,,,,873,70.35,310,3,10,6,51,493,Falu
Balatonszepezd,351,258,256,73.5,72.93,150,85,4,4,,,13,,,,,,,,258,73.5,90,3,5,4,15,141,Falu
Balatonszőlős,519,388,386,74.76,74.37,160,154,8,3,,1,60,,,,,,,,388,74.76,151,5,8,3,68,153,Falu
Balatonudvari,282,224,223,79.43,79.08,122,74,6,6,,1,14,,,,,,,,223,79.08,75,1,5,3,16,123,Falu
Balatonújlak,358,263,260,73.46,72.63,160,87,,4,,,9,,,,,,,,262,73.18,75,3,1,2,17,164,Falu
Balatonvilágos,1093,821,812,75.11,74.29,382,375,,20,13,22,,,,,,,,,795,72.74,349,7,26,5,64,344,Falu
Balinka,743,503,474,67.7,63.8,290,106,15,6,,5,52,,,,,,,,441,59.35,85,2,7,6,32,287,Falu
Balkány,4714,2807,2754,59.55,58.42,1793,680,34,46,,25,176,,,,,,,,2782,59.02,669,18,33,22,160,1880,Kisváros
Ballószög,3047,2200,2164,72.2,71.02,1198,607,101,,,32,226,,,,,,,,2186,71.74,616,31,93,19,217,1210,Falu
Balmazújváros,13733,9243,9126,67.31,66.45,5350,2898,,76,27,92,683,,,,,,,,9128,66.47,2581,97,213,68,742,5373,Középváros
Balogunyom,927,693,690,74.76,74.43,434,194,13,7,,6,36,,,,,,,,685,73.89,199,9,14,3,40,419,Falu
Balotaszállás,1147,666,661,58.06,57.63,468,122,,10,,,61,,,,,,,,651,56.76,125,4,14,5,62,441,Falu
